icmr_var,icmr_label,nhanes_file,nhanes_var,nhanes_label,comparability,notes
v29-v32,"Physical activity (GPAQ Work, Travel, Leisure, Overall)",PAQ_L.xpt,"PAD790Q, PAD800, PAD810Q, PAD820, PAD680",Physical Activity Questionnaire,Harmonizable to 3 Tiers (Low/Moderate/High),NHANES 2021-2023 records moderate/vigorous frequency and duration; harmonizable to GPAQ 3-tier overall physical activity.
v33,"Family history of Diabetes (0=No, 1=Yes)",MCQ_L.xpt,MCQ560 / DIQ160,Personal/family high blood sugar inquiry,Proxy in 2021-2023,NHANES 2021-2023 MCQ dropped dedicated family diabetes question MCQ300C; family history can be augmented or proxied.
v34,Family history of Hypertension,MCQ_L.xpt,None in 2021-2023 MCQ,N/A,Not Available in 2021-2023 NHANES,NHANES 2021-2023 dropped family HTN question.
v35,Family history of Heart Disease,MCQ_L.xpt,MCQ160B-F (Personal CVD),Personal CVD history,Close Proxy,Personal CVD history available in NHANES; ICMR has specific family history flag v35.
v36,"Diabetes (0=No, 1=Yes)",DIQ_L / GHB_L / GLU_L,"DIQ010, LBXGH (>=6.5), LBXGLU (>=126)",Diabetes diagnosis and lab thresholds,Direct Equivalent,Both employ standard ADA/WHO diagnostic criteria.
v37,"Prediabetes (0=No, 1=Yes)",DIQ_L / GHB_L / GLU_L,"DIQ160, LBXGH (5.7-6.4), LBXGLU (100-125)",Prediabetes / IFG / IGT,Direct Equivalent,Both employ ADA IFG/IGT/HbA1c prediabetes cutoffs.
v38,"Hypertension (0=No, 1=Yes)",BPQ_L / BPXO_L,"BPQ020, SBP>=140, DBP>=90",Hypertension diagnosis and BP readings,Direct Equivalent,ICMR: SBP>=140 or DBP>=90 or known HTN. NHANES allows exact same definition.
v39,"Abdominal obesity (0=No, 1=Yes)",BMX_L.xpt,"BMXWAIST (>=90M, >=80F for Asian Indian; >=102M, >=88F for US)",Waist circumference cutoff,Harmonizable by Cutoff Recalibration,"ICMR uses South Asian cutoffs (>=90cm Men, >=80cm Women). NHANES continuous waist allows applying either Asian or US cutoffs."
v40,"Generalized obesity (0=No, 1=Yes)",BMX_L.xpt,BMXBMI (>=25 for Asian Indian; >=30 for WHO/US),BMI cutoff,Harmonizable by Cutoff Recalibration,ICMR uses Asian Indian cutoff (BMI >= 25 kg/m2). NHANES continuous BMI allows applying Asian (>=25) or WHO (>=30) cutoffs.
v41,"Dyslipidemia (0=No, 1=Yes)",TCHOL / HDL / TRIGLY / BPQ,"LBXTC>=200, LBDHDD<40M/<50F, LBXTLG>=150, BPQ080, BPQ101D",Lipid profile abnormalities,Direct Equivalent,Both follow NCEP ATP III lipid abnormality criteria.
